Job Title,Company name,Job Detail,Location,URL,About the job
Electrical Engineer 1,Lam Research,Full-time,"Bengaluru, Karnataka, India",https://www.linkedin.com/jobs/view/3411139127/?eBP=NotAvailableFromMidTier&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=6SkNa0lQ1zw8NaUdVK74yA%3D%3D&trackingId=6pQcEfO2zVLsxne2nDkjwQ%3D%3D&trk=flagship3_search_srp_jobs,"You Are
A B.E. / B. Tech in Electrical Engineering or Electrical & Electronics Engineering with minimum 65% aggregate
Graduating in 2023 without any backlogs
Your Typical Day
Design and development of Electrical/Electronic sub-systems for high sensitive semiconductor processing equipment.







At Lam, we believe you can’t identify an innovator through innovation alone— it’s through collaboration, precision, and delivery. As a fundamental enabler of the fourth industrial revolution and trusted partner to the world’s leading semiconductor companies, we welcome challenges and promise to deliver.

How do we get there? By combining superior systems engineering, technology leadership, a strong values-based culture, and an unwavering commitment to prove our customers’ next big thing .



Our work is everywhere you look – even if you can’t actually see it. Lam Research goes deeper than software or chips to the heart of the process that enables chip creation. So, if you want to help power the components that empower everything, join us. We are a company comprised of people who work hard, deliver outstanding results, and maintain a sense of humor during even the most challenging times. This is truly a rare opportunity. Lam Research is a market leader where our core values are not just words on the back of your badge. Given the criticality of this role to Lam Research's success, this philosophy starts with you."
"Electrical Engineer, I",Lam Research,Full-time,"Bengaluru, Karnataka, India",https://www.linkedin.com/jobs/view/3411133853/?eBP=NotAvailableFromMidTier&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=6SkNa0lQ1zw8NaUdVK74yA%3D%3D&trackingId=%2Fyssr62hKzSCfvnvi%2BlUlw%3D%3D&trk=flagship3_search_srp_jobs,"You Are

Minimum Qualifications
A B.E . / B. Tech in Electrical Engineering or Electrical & Electronics Engineering with minimum 65% aggregate
Graduating in 2023 without any backlogs














Problem Solving

Analytical Ability

Innovative

Open Communication



We believe it is important for every person to feel valued, included, and empowered to achieve their full potential. By bringing unique individuals and viewpoints together, we achieve extraordinary results.

Lam Research (""Lam"" or the ""Company"") is an equal opportunity employer. Lam is committed to and reaffirms support of equal opportunity in employment and non-discrimination in employment policies, practices and procedures on the basis of race, religious creed, color, national origin, ancestry, physical disability, mental disability, medical condition, genetic information, marital status, sex (including pregnancy, childbirth and related medical conditions), gender, gender identity, gender expression, age, sexual orientation, or military and veteran status or any other category protected by applicable federal, state, or local laws. It is the Company's intention to comply with all applicable laws and regulations. Company policy prohibits unlawful discrimination against applicants or employees."
Electrical Engineer Fresher,Red Group,Full-time · Entry level,"Ahmedabad, Gujarat, India",https://www.linkedin.com/jobs/view/3403997270/?eBP=NotAvailableFromMidTier&refId=6SkNa0lQ1zw8NaUdVK74yA%3D%3D&trackingId=PegNUMxQlgPvYH%2B5iK62BQ%3D%3D&trk=flagship3_search_srp_jobs,"All Information On Call HR Number-+91-7229921965

Designs electrical systems by developing and testing components.
Evaluates electrical systems, products, components, and applications by designing and conducting research programs and applying knowledge of electricity and materials."
Associate Electrical Engineer (Fresher),Stantec,Full-time · Mid-Senior level,"Maharashtra, India",https://www.linkedin.com/jobs/view/3412044289/?eBP=NotAvailableFromMidTier&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=6SkNa0lQ1zw8NaUdVK74yA%3D%3D&trackingId=rXcEM5CilXO%2FZEJlijGXBg%3D%3D&trk=flagship3_search_srp_jobs,"21701BR

Requisition Number

21701BR





Stantec is a leader in global infrastructure, water resource development, Buildings, Mining, Oil and Gas providing engineering design and remediation, construction, procurement, program management, and technology solutions for the environmental, water, wastewater, energy and power markets of the Americas, Europe, Middle East, Asia Pacific region.

Stantec is looking for Electrical Designer with expertise in Electrical detailing Water/ Wastewater applications based in the Pune, India office.

The Electrical Designer role conducts and supports the delivery of complete electrical detail design drawings associated Water/ Wastewater treatment plants.





Associate Electrical Engineer (Fresher)



Full-Time

Regular

Drafting



We’re active members of the communities we serve. That’s why at Stantec we always design with community in mind. We believe growing a great design company happens from the inside out. We look for people who are drawn to use every talent they possess, plus creativity, determination and a drive to do the extraordinary.

The Stantec community unites approximately 22,000 employees working in over 400 locations across six continents. We collaborate across disciplines and industries to bring projects to life. Our work as architects, engineers, and consultants from initial project concept and planning through design, construction and commissioning is built on a solid history of success. So, when we take on a project, we see the opportunity to make a lasting connection with the people and places where we live and work. Redefine your personal best. Join us!



India-Maharashtra-Pune



India



Maharashtra



Pune"
Electrical Design Engineer - PT,Hitachi Energy,Full-time · Entry level,"Vadodara, Gujarat, India",https://www.linkedin.com/jobs/view/3412336065/?eBP=NotAvailableFromMidTier&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=6SkNa0lQ1zw8NaUdVK74yA%3D%3D&trackingId=kQN5rKioyptV8nGoYmFW1w%3D%3D&trk=flagship3_search_srp_jobs,"At Hitachi Energy our purpose is advancing a sustainable energy future for all. We bring power to our homes, schools, hospitals and factories. Join us and work with fantastic people, while learning and developing yourself on projects that have a real impact to our communities and society. Bring your passion, bring your energy, and be part of a global team that appreciates a simple truth: Diversity + Collaboration = Great Innovation

You will be part of a Global Engineering Center team and your task is to contribute to the global design work with positive team atmosphere and networking

Your responsibilities


Your background


More about us

Hitachi Energy is a global technology leader that is advancing a sustainable energy future for all. We serve customers in the utility, industry and infrastructure sectors with innovative solutions and services across the value chain. Together with customers and partners, we pioneer technologies and enable the digital transformation required to accelerate the energy transition towards a carbon-neutral future. We are advancing the world’s energy system to become more sustainable, flexible and secure whilst balancing social, environmental and economic value. Hitachi Energy has a proven track record and unparalleled installed base in more than 140 countries. Headquartered in Switzerland, we employ around 38,000 people in 90 countries and generate business volumes of approximately $10 billion USD. www.hitachienergy.com

Publication date

2022-11-07

Reference Number

IN52854305_E7"
Fresher Electrical Engineer,Marine Debt Management,Full-time · Entry level,"Mumbai, Maharashtra, India",https://www.linkedin.com/jobs/view/3404649193/?eBP=NotAvailableFromMidTier&refId=6SkNa0lQ1zw8NaUdVK74yA%3D%3D&trackingId=P5ncvD1Ppt5CiTGf2QWruQ%3D%3D&trk=flagship3_search_srp_jobs,"Design, control, and implement electrical systems and products

Develop manufacturing processes according to global engineering codes and standards

Manage engineering projects and deliver them on time

Define customer needs and requirements

Ensure that installations and applications are in line with customer needs and safety standards

Collaborate with engineers and technicians to design and apply new system processes"
Electrical Engineer Fresher,Marine Debt Management,Full-time · Entry level,"Kolkata, West Bengal, India",https://www.linkedin.com/jobs/view/3398106441/?eBP=NotAvailableFromMidTier&refId=6SkNa0lQ1zw8NaUdVK74yA%3D%3D&trackingId=4fiwEntW%2Bkg0lu33XHyPsw%3D%3D&trk=flagship3_search_srp_jobs,"Designs electrical systems by developing and testing components.
Evaluates electrical systems, products, components, and applications by designing and conducting research programs and applying knowledge of electricity and materials.
Confirms systems’ and components’ capabilities by designing testing methods.
Develops electrical products by studying customer requirements and researching and testing manufacturing and assembly methods and materials."
Electrical Engineer Fresher,"Dhalla CPA, A Professional Corporation",Full-time · Entry level,"Chennai, Tamil Nadu, India",https://www.linkedin.com/jobs/view/3395941724/?eBP=NotAvailableFromMidTier&refId=6SkNa0lQ1zw8NaUdVK74yA%3D%3D&trackingId=fQlytsiJd3u%2F0YzhYXimMg%3D%3D&trk=flagship3_search_srp_jobs,"Call HR Number+918233779798

Design, control, and implement electrical systems and products.
Develop manufacturing processes according to global engineering codes and standards.
Manage engineering projects and deliver them on time."
Urgent hiring for Electrical Engineer Fresher,Spirale HR Solutions Pvt Ltd,Full-time · Entry level,"Gurgaon, Haryana, India",https://www.linkedin.com/jobs/view/3402982795/?eBP=NotAvailableFromMidTier&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=6SkNa0lQ1zw8NaUdVK74yA%3D%3D&trackingId=R%2FGrnYFH0xOT7Unm%2F2rX%2FA%3D%3D&trk=flagship3_search_srp_jobs,"Dear Candidate,

We have urgent hiring for ""Electrical Engineer Fresher"" .

Qualification-B.Tech,B.E,Diploma(Electrical)

Salary-(12k to 20k)+Accommodation

Experience-0 to 0yr

Company-Manufacturing

Roles Responsibility-

Managing, designing, developing, creating and maintaining construction projects.

Conducting investigations and analyzing data.

Assessing potential risks, materials and costs.

If you are interested,please send me your updated resume at given mail id-

careerconsulting222@gmail.com

Or call@ 8368932135

Regards,

Kanak

This job is provided by Shine.com
""electrical maintenance"", ""electrical engineer production"", ""electrical engineer fresher"""
Urgent hiring for Electrical Engineer Fresher,Spirale HR Solutions Pvt Ltd,Full-time · Entry level,"Delhi, Delhi, India",https://www.linkedin.com/jobs/view/3402989140/?eBP=NotAvailableFromMidTier&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=6SkNa0lQ1zw8NaUdVK74yA%3D%3D&trackingId=ofgFTv7XZI95i1Qi4nNMVQ%3D%3D&trk=flagship3_search_srp_jobs,"Dear Candidate,

We have urgent hiring for ""Electrical Engineer Fresher"" .

Qualification-B.Tech,B.E,Diploma(Electrical)

Salary-(12k to 20k)+Accommodation

Experience-0 to 0yr

Company-Manufacturing

Roles Responsibility-

Managing, designing, developing, creating and maintaining construction projects.

Conducting investigations and analyzing data.

Assessing potential risks, materials and costs.

If you are interested,please send me your updated resume at given mail id-

careerconsulting222@gmail.com

Or call@ 8368932135

Regards,

Kanak

This job is provided by Shine.com
""electrical maintenance"", ""electrical engineer production"", ""electrical engineer fresher"""
